text_en_Titlu,text_en_Rezumat
Moldovans in Galati chose the future: hope to be better,"And the Bessarabians established in Galati went to the polling stations, to express their presidential option and referendum.The citizens of the Republic of Moldova have told journalists that they hope a better future."
Ten thousand Moldovans expected to express their vote in Iasi,"About ten thousand citizens of the Republic of Moldova are expected to express their vote at the two open polling stations in Iași for the presidential elections and the constitutional referendum.From the early hours of the morning, voters have mobilized to decide the future of the country."
Elections 2024: Moldovans from Ireland got caught up in a hour,"With music and good cheer, this is how the Moldovans from the city of Cork, Ireland were expressed.According to the Embassy of the Republic of Moldova in Ireland, in this city the polling station was opened inside the town hall, where our nationals warmed a hour."
"All minutes, processed: Sandu and Stoianoglo, in the second round",Maia Sandu and Alexandr Stoianoglo will take place in the second round of the presidential elections.At least that's how the data with the number of votes recorded after all the minutes have been processed.
Preliminary results: The referendum has passed.What follows,"The central electoral commission (CEC) presents today, October 21, the official preliminary results regarding the Constitutional Republican Referendum."
Security failures would have led to Trump's assassination attempt,"Attempts to assassinate former President Donald Trump at a Pennsylvania meeting in July ""could be prevented and should not have taken place,"" according to a bipartisan group in the Chamber of Representatives investigating the shootings and what it calls ""amazing security failures.""From the event."
Expert: Reforms and transformations make integration into irreversible UEs,"Alexei Tulbure, director of the Institute of Oral History, believes that ""the reforms, transformations and improvement of the standard of living of people make the European integration irreversible, and the changes in the Constitution do not make this irreversible process."""
South Korea requires the withdrawal of North Korean troops sent to Russia,"South Korea convened Russia's ambassador to Seoul on Monday to request the ""immediate"" withdrawal of the troops sent, according to Seoul, by Phenian to support Moscow against Ukraine."
"One year from the Bahmut Carnagiul: the accused, delegated to the prosecutor's office","Yesterday, October 20, a year has passed from the Bahmut tragedy, where, following a terrible accident, four people died, all members of the same family, including a child."
Chisinau: 110 kindergartens from 130 were connected to the thermal agent,"In Chisinau, 133 kindergartens, nine schools and high schools and 11 medical institutions are connected to the thermal agent.The figures were presented by the head of the General Directorate of Locative-Communal and Dentation, Ion Budriumov, during the operative meeting of today's municipal services, October 21."
Global crisis in Europe: Water health is not good,"A global water crisis could affect half of the global food production over the next 25 years, warns a report by The European Corresponding."
"Expert, about referendum: Changes in Constitution will be operated on","""The results of the referendum clearly confirm that the changes in the Constitution will be operated.""This told the constitutional expert Alexandru Tanase for Agora.However, he says he was expecting several votes ""yes"" and that ""the victory at the limit was surprising."""
"PAS activists, accused of xenophobia.Party: We condemn these attacks","The activists of the Action and Solidarity Party (PAS) were accused of xenophobia and instigating hatred against the presidential candidate Alexandr Stoianoglo.It happens after a few supporters step said that it would not be suitable for the position of president, because he is originally from UTA Gagauzia."
Fake bomb alert in a shopping center in the capital,"More video images with people evacuated from a shopping center have appeared in the public space.The police were notified, so all specialized services were moved to the scene."
The Prosecutor General of Ukraine resigned after a proportion,"Andrii Kostin, prosecutor General of Ukraine, resigned after a scandal of proportions aimed at how recruits were made in the Ukrainian army, as well as mobilization."
Discussions about referendum intensified on TV before voting,"In the last week before the election on October 20, the referendum was more commonly subject to TV materials than before.The referendum, as a democratic exercise, but also the European integration targeted by it, were discussed more intensely."
"Actor Michael Newman, known from the Baywatch series, died at 68","Michael Newman, known from the series ""Baywatch"", died at the age of 68, following ""cardiac complications"" on Sunday evening."
The police discovered the secret of the most selling pizza in Dusseldorf,"The German authorities have managed to destroy a tape of drug dealers from North Westfalia, who deliver the drugs to the customer home, with Pizza, under the advertising slogan ""We deliver everything at home""."
"A pedestrian, shattered deadly by a car while crossing the street","A road accident that resulted in the death of a person occurred on the morning of today, October 22, on a street in Chisinau."
Tour II elections: Start printing the bulletins for those in the diaspora,"The central electoral commission announces that today, October 23, at 5:30 pm, the central typography began to print the ballots for the second round of the presidential elections of November 3, 2024."
Who will support Ulianovschi in the second round.The conditions announced,"In a message on social networks, the presidential candidate, Tudor Ulianovschi, announced that he has received invitations from the teams of both electoral competitors who will face the second round.Thus, Ulianovschia has announced that he will discuss with the staff of Maia Sandu and Alexandr Stoianoglo to decide who to support in this poll."
Romania exports to Moldova the amount of gas needed for daily consumption,All the amount of gas needed for daily consumption in the Republic of Moldova comes from Romania.
The EU will grant 16 million euros for journalism and media education,"The commission published on Wednesday three requests for proposals, within the ""Creative Europe"" program, which aims to support the freedom and pluralism of the media, to strengthen the resilience of the media and to contribute to the improvement of the media literacy."
Agency for Science and Military Memory Has Has an Exhibition,"The temporary exhibition ""Romanian military institutions in Bessarabia (1918-1944)"" was opened today, October 23, at the Agency for Science and Military Memory."
"FIFA, accused of not paying three million pounds to players",FIFA was accused of not paying the final part of the amounts agreed to players throughout Europe whose contracts were not honored by their clubs.
What citizens have to do to benefit the winter of compensation,"The citizens of the Republic of Moldova who want to benefit from compensation for the payment of thermal, electric and natural gas in the current cold season will have to register in the system provided by the authorities starting with November."
"A man, killed by two friends.A convicted attacker","A man from Balti was sentenced to 15 years in prison, after a friend killed a glass friend.The sentence was pronounced on Tuesday, October 22, by the magistrates of the Balti Court."
Mileage fraud: How to avoid cars with a huge course,"The car market is full of cars that have the kilometer back, and some owners may not know that the odometer of their own vehicles have once been handled.Such cars cause major problems, frequently defect and require substantial repair costs."
Which tactics could use Sandu and Stoianoglo to attract votes,"In the campaign for the second round of the presidentials, the President in exercise Maia Sandu, a step candidate, will try ""to hold the electorate"", while his counter -candidate, Alexandr Stoianoglo, supported by the PSRM will have neutral messages and ""will be victimized"",believes analyst Vadim Pistrinciuc."
He married a religious fan: a young woman makes shocking disclosures,"A young woman from Moldova tells that she found himself in a hell a month after she married an ideal man at first sight, but who proved to be a religious fan.Anastasia reveals what prohibitions he imposed, how he was not allowed to wash like all people, to dress normally, how he burned his documents and how to distribute leaflets with strange information about the number ""666""."
Expert: Anti-smoking restrictions have an adverse effect,The number of smokers in the Republic of Moldova continues to increase despite the restrictions imposed by the authorities.The forecasts of the World Health Organization show that our country is the only one in the European region where the number of smokers will continue to increase in the coming years.
Ostalep: Maybe this is the real hybrid war against Moldova,"In Moldova lately, Nazism is imposed, unfortunately not only by the authorities, not just from the inside, this happens from the outside.Perhaps this is the true hybrid war against Moldova."
Moldovan students can benefit from scholarships at the College of Europe,"Students from the Republic of Moldova have the opportunity to continue their postgraduate studies at the College of Europe (College of Europe), one of the most famous European academic institutions.Founded in 1949, the College of Europe offers advanced master programs annually in the field of European studies, attracting students from over 50 countries, including the Republic of Moldova."
"Chisinau: 20 km of bicycle tracks, arranged in recent years","The City Hall of Chisinau has set up in the last five years, over 20 kilometers of continuous tracks for cyclists, thus offering the inhabitants of the capital new opportunities for an active and environmentally friendly lifestyle."
UK and Germany will sign a historical defense treaty,"The United Kingdom and Germany will sign what the British government calls a ""historical defense agreement"", meant to stimulate security, investments and jobs."
"Attention, CNED has launched the Moldova Eco Energetica competition 2024 edition","The National Center for Sustainable Energy (CNED) announces the launch of the call for the registration of projects within the Moldovan Energetic Competition Edition 2024, an event dedicated to the public sector and oriented towards promoting energy efficiency and renewable energy sources."
The Blinken requires the termination of the Middle East conflict,US Secretary of State Antony Blinken made a call for fights between Israel and Hamas and Hezbollah militant groups on Wednesday.
Sandu vs.Stoianoglo: Debate Regulation has been set,"The teams of the two candidates for the president's chair, Maia Sandu and Alexandr Stoianoglo, agreed on the Regulation for organizing the electoral debates for October 27, announces the head of the President of the Republic of Moldova, Adrian Băluțel."
"The Transnistrian region, from 2025 without gas?Parlicov's response","The Minister of Energy of the Republic of Moldova, Victor Parlicov, offered some clarifications for the issue of natural gas delivery to the Transnistrian region after January 1, 2025. And this is because then the term of contract will expire between Ukraine and Gazprom regarding the transit of natural gas on the territory.Ukrainian."
"Stoianoglo, Usatîi and Vlah, voted hard by Moldovans from Russia","Alexandr Stoianoglo, the candidate supported by the PSRM in the presidential elections, obtained in the first round of the poll the most votes in the two voting sections opened in Moscow."
"Sandu: If justice does not wake up, the future of Moldova is in danger","The Republic of Moldova was the target of an unprecedented attack on our freedom.The statement is made by the president of the country, Maia Sandu, who mentions in a video posted on social networks about the existence of a huge network of voting."
ORIZONT EUROPE PROGRAM: 16 researchers have received diplomas,"The Ministry of Education and Research (MEC) announces that 16 groups of researchers from different institutions in the country have received diplomas for the remarkable results obtained in the ""Horizon Europe"" program."
Turkey raises alert at airports because of terrorist threats,"Turkey raised the degree of orange alert on all airports on Thursday, after the last -day terrorist attack from Ankara, soldier with five dead and 22 injured, the local media said."
"Changes in the CNOS management team: Zalina Marghieva, the new secretary","Within the General Assembly of the National Olympic and Sports Committee (CNOS) of the Republic of Moldova, held on October 18, significant changes were held in the management of the organization."
Russia has greatly increased its war budget on 2025-2027,"The Russian State Duma, the lower chamber of Parliament, approved on Thursday, in a first reading, the draft law on the budget on 2025-2027, which provides for a 30% increase in military expenses next year."
The card of a Russian pilot was found in a plane-boiled in Sudan,"In the Russian plane shot down on Monday, October 21, in the Sudanese province of Dafur, was the Viktor Granov military pilot, who had direct links with the well -known Viktor Bout weapons trafficker."
Electoral corruption: Police has prepared another 30 minutes,"The Police in Sangerei prepared yesterday, October 24, 30 minutes on passive electoral corruption.The documents are to be shipped according to the competence of the National Anticorruption Center."
In the attention of the drivers: On a street in Chisinau the traffic will be suspended,"Chisinau City Hall announces that on Saturday, between 09: 00-20: 00, on Sunday, 09:00 pm, road traffic will be suspended on Bucuriei Street, the section between Henri Coandă and messenger streets."
"Large searches in Chisinau: over 200,000 cigarettes, confiscated","The officers of the Customs Service, under the leadership of the PCCOCS, carried out four searches in the municipality of Chisinau and outside it, within a criminal case regarding the documentation of a clandestine factory for the production of cigarettes."
Romania has almost a million more elderly than young people,"The population, after home, was 21.77 million people, on July 1, 2024, 1% lower than July 1, 2023, shows the data of the National Institute of Statistics (INS).The phenomenon of demographic aging has been accentuated, the 65-year-old elderly population (4 million people) exceeding with 927,000 people the young population of 0-14 years (3.07 million people)."
"The World Bank, optimistic about the Moldovan economy: what estimates","The World Bank estimates an economic growth of 2.8% for Moldova in 2024, compared to the 2.8% June forecast, supported by growing real salaries, lower inflation, favorable interest rates and a positive fiscal impulse.Although real remites have decreased, private consumption will remain a key growing engine, stimulated by a gradual improvement in investment activity."
Romania announces that it can deliver the Republic of Moldova from its own reserves,"Romania reaffirms its support to the Republic of Moldova in ensuring energy security, especially on the threshold of the cold season.The authorities in Bucharest express their willingness to provide gas to our country from its reserves, according to needs."
"Chisinau: Enter the blocks at night and steal bicycles.A man, arrested","A 34 -year -old man from the Capital was detained, then placed in arrest, after stole several bicycles from the dwelling staircase in the Ciocana sector."
WSJ: Musk secretly holds the connection with Putin from the end of 2022,"Elon Musk, the richest man in the world and a pivot of US spatial efforts, has been in regular contact with Russian President Vladimir Putin since the end of 2022. The discussions, confirmed by several current and former Americans, Europeans and Russians,It addresses personal topics, business and geopolitical tensions."
Gherman appreciates the results of the vote at the referendum to the left of the Dniester,"The vice -president of the Parliament, Doina Gherman, appreciates the results of the vote at the referendum to the left of the Dniester, where over 37% of the voters chose the option ""Yes"".The statement was made in the show ""Rezaomat"", broadcast on RLIVE TV."
Maia Sandu: The biggest problem and disappointment is justice,"The Presidency Maia Sandu stated that during his mandate he faced a huge resistance from the justice system, and the good international practices have proven to be ineffective for the situation in the Republic of Moldova."
"Corruption of voters: a woman, placed under arrest for 20 days",The woman in the Sangerea who was to convey money to hundreds of people in the district for electoral corruption was placed in the insulator for 20 days.
"CEC, to voters: and in the second round can the mobile urn be requested","The Central Election Commission (CEC) informs that voters can request the voting at the place of the second round of the presidential elections of November 3, 2024. The applications submitted for the first tour are not valid at the second round."
Corruption of voters: Details on CNA searches in the country,"Morning searches at the ""victory"" block.Officers of the National Anticorruption Center (CNA) descending into a file of electoral corruption and illicit financing of political parties."
Zelenski gave up his shirt to send a message to Russia,"Ukrainian President Volodimir Zelenski has become surprisingly in a black shirt that wrote a message in the style of Trump's Campaign, attracting a reaction of anger from the Kremlin spokesman, Business Insider reports."
Elections in Romania: PSDE urges citizens to support Ciolacu,"The Social Democratic European Party (PSDE) urges Romanian citizens from the Republic of Moldova to support the PSD candidate, Marcel Ciolacu, the current prime minister in the PSD elections."
Cristina Gherasimov had a meeting with the new Ambassador of France,"The Deputy Prime Minister for European Integration, Cristina Gherasimov, met with Dominique Waag, the new Ambassador of France in Chisinau, to discuss the European course of the Republic of Moldova."
Moldova and Lithuania will strengthen their partnership on the defense segment,"The cooperation on the defense segment between the Republic of Moldova and Lithuania was discussed by the Minister of Defense Anatolie Nosatîi and his Lithuanian counterpart, Laurynas Kasčiūnas, during an official visit to Vilnius."
The Dana Cyclone is ravaging in India: Thousands of people affected by the storm,"A very strong storm took over the eastern coast of India on Friday.The wind blowed with power, lowering trees and interrupting the electric current in many areas.Due to heavy rains, water flooded the streets and some houses."
"Dupu: We will continue to support the citizen, regardless of the leadership","Regardless of the governance that will be in Chisinau, the Romanian projects are done for the citizens, declares the head of the Department for the relation with the Republic of Moldova within the Government of Romania, Adrian Dupu.The official remembered that when he took a mandate, there was a pro-Russian leadership in Chisinau, but Bucharest did not give up supporting us."
Accident in the Capital: A Porsche arrived in the Penitentiary Nr.13 fence,"An accident occurred today, October 26, in Chisinau.The driver of a Porsche lost control of the steering wheel and, therefore, arrived in the penitentiary fence no.13."
The Congress of Ophthalmologists' Society of Europe was held at the USMF,"Specialists in the field of ophthalmology and optometry in eleven countries met in Chisinau at the Congress of the Society of Southeast Europe, the 19th edition, to discuss topical topics in the pathology of Cornea, Retinei, Optical Nerve, Glaucoma, Surgerycataracts and others."
"Moldova and Ukraine, in the top of the countries with the lowest fertility","Globally, the fertility rate decreased from an average of 5 births per woman in 1950 to 2.3 births per woman in 2021. Republic of Moldova and Ukraine are in an unwanted top of reduced fertility, with 1.2, respectively 1, 3 children per woman.Romania does not enter this negative top."
Parliamentary elections in Georgia: There were violations recorded,"A group of unknown persons threw several ballots in the ballot box at the polling station no.69 of the Georgian city Marneuli during the parliamentary elections, said the president of the Central Electoral Commission, Giorgi Kalandarishvili."
"Caldarâmul on 31 August 1989 street, in the process of topographic scan","The General Directorate of Urban Mobility of the Chisinau Municipal Council, in collaboration with the Ministry of Culture, carries out the topographic scanning of August 31, 1989, on the section between Metropolitan streets Gavriil Bănulescu-Bodoni and Alexandr Pushkin."
"Beyoncé, along with Kamala Harris at an election rally in Houston","Beyoncé participated in a meeting in Houston for the presidential campaign of Kamale Harris, declaring that she is there as a mother concerned about the future of children.She urged people to vote for a future without limitations, reports AP."
IGSU has inspected the Japan technique to reach Moldova,"Between October 23-24, 2024, the General Inspectorate for Emergency Situations (IGSU) inspected the intervention technique in Japan, to be delivered to the Republic of Moldova."
"Traffic, suspended on a street in the capital: what is the reason","The City Hall of Chisinau informs that on the Bucuriei street in the Buiucani sector, today, October 26, the last layer of asphalt is laid."
"Sandu and Stoianoglo, face to face at the first debate","The two candidates for the presidential elections, Maia Sandu and Alexandr Stoianoglo, will take place today, October 27, starting at 10:00, in an electoral debate.The confrontation will take place at the Republic Palace, where each candidate will be accompanied by five staff members."
A plane crashed to Vadul lui Voda: A person died,"A small plane collapsed on the territory of the rest base at Vadul lui Voda.As a result, a fire broke out, and a person died."
"Anca Dragu, Washington: Republic of Moldova continues to advance","The governor of the National Bank of Moldova, Anca Dragu, participated on Saturday, October 26, 2024, in the ""Regional Economic Outlook"" (Reo) - an event dedicated to the economic perspectives and the common challenges of Central, Eastern and Southeast, organized in the marginAnnual meetings of the International Monetary Fund (IMF) and the World Bank Group (GBM), Washington, USA."
"A batch of undeclared injections, discovered at Palanca Customs","A batch of injectable preparations, which were to be illicit in the Republic of Moldova, were discovered at Palanca customs, in the luggage of a non -resident."
"A minor, assisted by Carabinieri: He was lost through the city of Comrat","A minor was helped by Carabinieri to reach safely, being from a boarding school in Ceadâr-Lunga.He came to Comrat to visit his friend, but did not find him and stayed alone in an unknown city."
"Dozens of people, documented by the police on electoral corruption","Police documented yesterday, October 26, dozens of cases in which citizens go to the left of the Dniester to raise financial means transferred through the PSB system, money from the Criminal Organization Șor to influence the presidential elections and the referendum in the Republic of Moldova."
At least 97 dead in the Philippines following the tropical storm,"At least 97 people died in the Philippines, following the tropical storm, according to a balance sheet prepared by AFP based on data from local officials, and rescuers were still trying to help in areas that became inaccessible due to floods."
"The dream universe of Violeta Zabulica-Diordiev, exhibited at the Art Museum","An exhibition invitation in the world full of dreaming, philosophy, symbols and mystery of the painter Violeta Zabulica-Diordiev was inaugurated at the National Museum of Art of Moldova.It is suggestively entitled ""Godot's dream"" and represents an exceptional selection of easel and book graphics, made by the artist in different periods of activity."
The step staff reveals how much it cost the organization of the electoral debate,"About 200,000 lei.So it would have cost the organization of today's electoral debate, October 27, between Maia Sandu and Alexandr Stoianoglo.The specification was made by the member of the electoral staff of PAS Adrian Băluțel before the event that takes place at 10:00, at the Republic Palace."
Are the apartments' prices about to rise?The premises of an expert,"Intense dynamic on the real estate market.At the end of the year, the experts in the field anticipate an increase in prices for apartments, mentioning that last year, the average price for one square meter has reached a historical record."
Authorities aim to completely digitize public services,"Digitized public and private services in a proportion of 100 percent by 2030-is the objective set by the Republic of Moldova authorities to support socio-economic reforms, reduce expenses and increase citizens' accessibility.The objective of the authorities is an ambitious, but achievable one, since already half of the public services have been digitized, and the benefits are visible."
"The Mioriță Laie Festival, Laie Bucălaie met 10,000 visitors","The eighth edition of the ""Mioriță Laie, Laie Bucălaie"" Festival held in Cimișlia.According to the Ministry of Agriculture and Food Industry (MAIA), the event has become a symbol of preserving the traditions and capitalizing on the zootechnical sector in the Republic of Moldova."
Moldovans from Israel can convert their driving licenses,"The Government of the Republic of Moldova and that of Israel completed the internal procedures necessary for the implementation of the agreement on the conversion of the driving licenses, drawn up in Jerusalem on March 20 and entered into force on October 27."
"In a village in Japan, dummies against loneliness were put","The inhabitants of a village in Japan have mounted dummies in the courts and in public areas to combat loneliness.
Motorcyclists from Moldova closed the season through a parade, 757:28 October 2024"
Journalist: Stoianoglo worries Kiev.Transnistria - possible target,The journalist from Ukraine Anna Nonelii believes that a vote for Alexandr Stoianoglo in the second round of the presidential elections in the Republic of Moldova could bring the country closer to the indirect involvement in the Russian-Ukrainian conflict.
The Biucani's attic epic continues: The damage was not estimated,"At the attic of the housing block in the Buiucani sector of the Capital, where a fire occurred, the technical expertise was carried out.According to the results, the construction can be restored.About this, during the weekly meeting of the City Hall's services, the deputy chief of the general resonance and arrangement of the Chisinau Municipal Council, Ghenadie Dubița communicated."
