Titlu,Vizualizari,Data publicarii,Sursa,Referinte,Rezumat,,,,
"Singura filială a Universității de Stat din Moscova în Europa, închisă",1174,"12 Octombrie 2024, 19:30",https://stiri.md/article/international/singura-filiala-a-universitatii-de-stat-din-moscova-in-europa-inchisa,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Filiala Universit??ii de Stat din Moscova Lomonosov din Koper, Slovenia, a fost ?nchis?, conform rectorului universit??ii, Viktor Sadovnichy. Decizia a fost luat? de conducerea Universit??ii Primorska, care a g?zduit filiala, dar motivul ?nchiderii nu a fost specificat. Filiala, deschis? ?n 2017, a fost singura reprezentan?? a Universit??ii de Stat din Moscova ?n Europa, av?nd ini?ial o cooperare limitat? la studiile economice. Guvernul sloven a alocat 500 de mii de euro pentru ?nfiin?area acesteia.",,,,
Coreea de Nord acuză că drone sud-coreene au împrăștiat pliante,476,"12 Octombrie 2024, 19:20",https://stiri.md/article/international/coreea-de-nord-acuza-ca-drone-sud-coreene-au-imprastiat-pliante-deasupra-phenianului,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Coreea de Nord a acuzat Coreea de Sud c? a trimis drone pentru a distribui pliante anti-Nord deasupra Phenianului, consider?ndu-se o provocare militar?. Ministerul de Externe nord-coreean a cerut Sudului s? opreasc? aceste ac?iuni, avertiz?nd c? pot provoca un conflict armat. Statul Major sud-coreean a spus c? nu poate confirma acuza?iile ?i a amintit c? ?i Coreea de Nord a trimis baloane ?n sud.",,,,
"Cererea de strămutare în unul dintre dosarele lui Stoianoglo, respinsă",1551,"12 Octombrie 2024, 19:00",https://stiri.md/article/social/csj-respinge-cererea-de-stramutare-in-unul-dintre-dosarele-lui-stoianoglo,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Curtea Suprem? de Justi?ie (CSJ) a respins cererea de str?mutare depus? de procurorul Dumitru R?ileanu, care este judecat al?turi de fostul procuror general Alexandr Stoianoglo ?i acuzatoarea Elena Ceru?a, pentru abuz ?n serviciu legat de eliberarea lui Veaceslav Platon. ?n iulie, Curtea de Apel Chi?in?u a declarat inadmisibile recursurile procurorilor R?ileanu ?i Ceru?a, care sunt suspenda?i din func?ii. Examinarea cazului a fost suspendat? din cauza contesta?iilor privind formarea completului de judec?tori. Cazul implic? acuza?ii de corup?ie pasiv?, abuz de serviciu ?i fals ?n declara?ii.",,,,
"Dezbateri electorale: Blocul Împreună, PAS și MAN, pentru aderarea la UE",1165,"12 Octombrie 2024, 18:50",https://stiri.md/article/politica/dezbateri-electorale-blocul-impreuna-pas-si-man-pledeaza-pentru-aderarea-la-ue,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Pe 11 octombrie, reprezentan?ii Blocului ??mpreun??, PAS ?i MAN au discutat despre aderarea Republicii Moldova la Uniunea European? ?n cadrul dezbaterilor electorale de la Moldova 1, cu ocazia referendumului din 20 octombrie. Ei au subliniat importan?a votului pentru integrarea european?, consider?nd c? este o oportunitate crucial? pentru dezvoltare. De asemenea, au abordat mituri legate de neutralitate ?i c?s?toriile ?ntre persoane de acela?i sex, afirm?nd c? aderarea la UE nu impune astfel de schimb?ri. Cet??enii vor vota pentru modificarea Constitu?iei, ceea ce ar face integrarea european? o prioritate obligatorie pentru viitoarele guverne.",,,,
"Concursul de desene Securitatea electrică în viziunea copiilor, lansat",368,"12 Octombrie 2024, 18:40",https://stiri.md/article/social/concursul-de-desene-securitatea-electrica-in-viziunea-copiilor-lansat,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Ministerul Educa?iei ?i Cercet?rii, ?n colaborare cu Agen?ia Na?ional? pentru Reglementare ?n Energetic?, a lansat concursul na?ional de desene ?Securitatea electric? ?n viziunea copiilor?, destinat elevilor claselor V-XII. Concursul se desf??oar? ?ntre 11 octombrie ?i 11 noiembrie, iar lucr?rile vor fi evaluate ?ntre 13 ?i 26 noiembrie. Cele mai bune desene vor fi folosite pentru a crea pliante informative ce vor fi distribuite ?n institu?iile de ?nv???m?nt din ?ar?. Autorit??ile ?ncurajeaz? to?i elevii s? participe.",,,,
"Dosarul corupției de la Orhei: Trei inculpați, în arest la domiciliu",1292,"12 Octombrie 2024, 18:30",https://stiri.md/article/social/dosarul-coruptiei-de-la-orhei-trei-inculpati-in-arest-la-domiciliu,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Instanța de judecată s-a expus astăzi, 13 octombrie, asupră măsurii preventive în privința celor patru persoane, reținute vineri de CNA, la Orhei, într-un dosar de corupere pasivă și finanțare ilegală a unei formațiuni politice.",,,,
Iranul avertizeaza: Nu avem linii roşii în apărarea poporului nostru,690,"13 Octombrie 2024, 17:20",https://stiri.md/article/international/iranul-avertizeaza-nu-avem-linii-rosii-in-apararea-poporului-nostru,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Ministrul iranian de externe Abbas Araqchi a avertizat duminica aceasta că Teheranul nu are linii roşii"" atunci când vine vorba de apărarea poporului şi a intereselor sale"," într-un moment de tensiune maximă în Orientul Mijlociu şi în faţa eforturilor Republicii Islamice de a descuraja un război regional.""",,,
Kremlin: Putin e deschis pentru un dialog cu Scholz despre Ucraina,1276,"13 Octombrie 2024, 18:30",https://stiri.md/article/international/kremlinul-anunta-ca-putin-e-deschis-pentru-un-dialog-cu-scholz-despre-ucraina,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Preşedintele rus Vladimir Putin este deschis unui dialog cu cancelarul german Olaf Scholz, a declarat duminică purtătorul de cuvânt al Kremlinului, Dmitri Peskov.",,,,
La toate intrările către PMAN au fost amplasate panouri informative,1248,"13 Octombrie 2024, 18:20",https://stiri.md/article/social/la-toate-intrarile-catre-pman-au-fost-amplasate-panouri-informative,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Primăria Municipiului Chișinău informează că la toate intrările către Piața Marii Adunări Naționale (PMAN) au fost amplasate panouri informative pentru cetățeni, cu detalii despre locațiile importante ale sărbătorii Hramului orașului Chișinău, pentru zilele de 13-14 octombrie 2024.",,,,
"Rusia, acuzată că a executat nouă prizonieri ucraineni. ONU, sesizată",847,"13 Octombrie 2024, 18:10",https://stiri.md/article/international/rusia-acuzata-ca-a-executat-noua-prizonieri-ucraineni-onu-si-crucea-rosie-sesizate,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Ombudsmanul ucrainean Dmitri Lubineţ a sesizat duminică Comitetul Internaţional al Crucii Roşii (CICR) şi ONU cu privire la presupusa execuţie a nouă prizonieri de război ucraineni de către soldaţi ruşi în regiunea rusă Kursk, unde trupele ucrainene au intrat la începutul lunii august pentru a slăbi presiunea forţelor ruse pe frontul din Donbas, în estul Ucrainei.",,,,
Ce înseamnă răspunsul Da sau Nu la referendum? Osmochescu explică,1734,"13 Octombrie 2024, 18:00",https://stiri.md/article/politica/ce-inseamna-raspunsul-da-sau-nu-la-referendum-nicolae-osmochescu-explica,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Referendumul este singurul mod pentru cetățeni de a participa direct la treburile statului, iar referendumul republican constituțional este unul extrem de important. Astfel comentează doctorul în drept și fostul judecător al Curții Constituționale, Nicolae Osmochescu, care explică ce înseamnă un eventual răspuns „Da” sau „Nu” la singura întrebare din buletinul de vot.",,,,
Criza cadrelor didactice: În raionul Soroca 60 de profesori fac naveta,773,"13 Octombrie 2024, 17:50",https://stiri.md/article/social/criza-cadrelor-didactice-in-raionul-soroca-60-de-profesori-fac-naveta,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Profesia de pedagog s-a transformat într-o adevărată vocație pentru majoritatea dintre ei. Ne referim la profesorii care sunt nevoiți să facă naveta, parcurgând zeci de kilometri între localități pentru a ajunge la școală.",,,,
Sandu: Am avut o discuție importantă cu 140 de tineri despre politică,678,"13 Octombrie 2024, 17:40",https://stiri.md/article/politica/maia-sandu-am-avut-o-discutie-importanta-cu-140-de-tineri-despre-politica,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Președintele R. Moldova, Maia Sandu, a avut astăzi, 13 octombrie, o discuție cu circa 140 de tineri despre alegeri, politică și aderarea la UE.",,,,
"Drumul Dragonului, un nou traseu ecoturistic lansat la Orheiul Vechi",1369,"13 Octombrie 2024, 17:30",https://stiri.md/article/social/drumul-dragonului-un-nou-traseu-ecoturistic-lansat-la-orheiul-vechi,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd",Un nou traseu ecoturistic „Drumul Dragonului a fost lansat astăzi, 13 octombrie, în inima Rezervației Cultural-Naturale „Orheiul Vechi”.,,
Fără exit-poll la alegerile din 20 octombrie: Precizările CEC,2954,"13 Octombrie 2024, 17:10",https://stiri.md/article/social/fara-exit-poll-la-alegerile-din-20-octombrie-precizarile-cec,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Pe 20 octombrie, când în Republica Moldova au loc alegeri prezidențiale și referendumul republican pentru includerea vectorului european în Constituția țării, nu va fi organizat exit-poll – sondaj electoral efectuat imediat ce alegătorii ies din cabinele de vot.",,,,
Povestea unui meșter care a deschis o școală de olărit în Găgăuzia,592,"14 Octombrie 2024, 16:10",https://stiri.md/article/social/povestea-unui-mester-care-a-deschis-o-scoala-de-olarit-in-gagauzia,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Petru Capaclî, un meșter popular din Beșalma, Găgăuzia, a deschis în regiune o școală de olărit pentru toți doritorii. Cu ajutorul unui fond, acesta a reușit să achiziționeze și o imprimantă de laser 3D cu care creează diferite obiecte împreună cu zeci de copii.",,,,
"Banca Mondială: Cele mai sărace țări, în cea mai gravă criză din 2006",1113,"14 Octombrie 2024, 16:20",https://stiri.md/article/economic/banca-mondiala-cele-mai-sarace-tari-in-cea-mai-grava-criza-din-2006,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Cele mai sărace 26 de ţări din lume, în care trăiesc 40% dintre persoanele afectate cel mai mult de sărăcie, au datorii mai mari decât în orice alt an de după 2006.",,,,
Ceban și colegii săi au depus flori la monumentul lui Ștefan cel Mare,593,"14 Octombrie 2024, 16:30",https://stiri.md/article/social/ion-ceban-si-colegii-sai-au-depus-flori-la-monumentul-lui-stefan-cel-mare,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Astăzi, 14 octombrie, primarul general al Capitalei, Ion Ceban, împreună cu echipa Primăriei Chișinău, a depus flori la monumentul Domnitorului Ștefan cel Mare și Sfânt cu prilejul sărbătorii Acoperământul Maicii Domnului, zi în care celebrăm Hramul Orașului Chișinău.",,,,
Copii abuzați sexual în Moldova: Cele mai multe dintre victime sunt fete,670,"14 Octombrie 2024, 16:40",https://stiri.md/article/social/copii-abuzati-sexual-in-moldova-cele-mai-multe-dintre-victime-sunt-fete,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Majoritatea copiilor abuzați sexuali, potrivit unor date statistice, sunt fete. Iar infractorii sunt, în cele mai multe dintre cazuri, bărbați și fac parte din familiile victimelor. Tați, unchi, bunici, frați - ajung să comită infracțiuni greu de imaginat. Odată ce devin victimele abuzurilor sexuale, minorii dezvoltă traume fizice și psihologice, care sunt extrem de greu de vindecat. Mai mult, unii dintre ei pot să devină abuzatori de copii, la rândul lor.",,,,
CEC anunță câți moldoveni cu drept de vot au domiciliul în Transnistria,1125,"14 Octombrie 2024, 15:50",https://stiri.md/article/social/cec-anunta-cati-moldoveni-cu-drept-de-vot-au-domiciliul-in-transnistria,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Comisia Electorală Centrală (CEC) a confirmat, într-un răspuns pentru NewsMaker, că în Registrul de Stat al Alegătorilor sunt incluși 274.475 de cetățeni moldoveni cu drept de vot, având domiciliul înregistrat în stânga Nistrului.",,,,
"Alertă în România: Ouă și carne cu Salmonella, retrase din vânzare",567,"14 Octombrie 2024, 15:40",https://stiri.md/article/international/alerta-alimentara-in-romania-oua-si-carne-cu-salmonella-retrase-din-vanzare,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Peste 4.380 de ouă și câteva kilograme de carne au fost retrase de la comercializare, în Buzău, România, după ce s-a detectat Salmonella enteritidis. Inspectorii din cadrul Direcției Sanitar-Veterinare și pentru Siguranța Alimentelor Buzău au confiscat, pe parcursul lunii septembrie, în urma unor controale, 30 de kilograme de carne.",,,,
Drumeţia şi ciclismul – o noutate turistică în Inima Nistrului,532,"14 Octombrie 2024, 15:30",https://stiri.md/article/social/drumetia-si-ciclismul-o-noutate-turistica-in-inima-nistrului,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Un nou traseu de ciclism și drumeție - „Inima Nistrului"" - a fost lansat cu sprijinul Programului Naţiunilor Unite pentru Dezvoltare (PNUD) și al Guvernului Elveției, oferind cicliștilor și drumeților o experiență unică de 42 km de-a lungul râului Nistru.",,,,
Cum au adunat preoții din Moldova semnături pentru Victoria Furtună,2654,"14 Octombrie 2024, 15:20",https://stiri.md/article/politica/cum-au-adunat-preotii-din-moldova-semnaturi-pentru-victoria-furtuna,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Campania electorală pentru alegerile prezidențiale și referendum a determinat Kremlinul să își mobilizeze toate resursele din Republica Moldova. În lupta pentru fotoliul de șef al statului, dar și pentru compromiterea referendumului, au fost aruncate chiar și cele mai „sfinte” resurse - preoții, care au adunat semnături de la oameni din sate pentru candidata Victoria Furtună.",,,,
Ședința Guvernului din 16 octombrie. Subiectele de pe ordinea de zi,1043,"14 Octombrie 2024, 15:10",https://stiri.md/article/social/sedinta-guvernului-din-16-octombrie-subiectele-de-pe-ordinea-de-zi,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Cabinetul de miniștri se va întruni mâine, 16 octombrie, începând cu ora 10:00, într-o nouă ședință.",,,,
Expert: Programele electorale depășesc atribuțiile unui președinte,819,"15 Octombrie 2024, 17:26",https://stiri.md/article/social/expert-programele-electorale-depasesc-atributiile-unui-presedinte,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","În pofida îmbunătățirii culturii electorale, programele candidaților nu includ mecanisme de implementare care să asigure realizarea promisiunilor sau prevăd acțiuni care nu sunt în atribuțiile unui președinte de stat, fapt ce va dezamăgi alegătorii.",,,,
"Oficial din Danemarca, la Chișinău: Împreună devenim mai puternici",232,"15 Octombrie 2024, 17:00",https://stiri.md/article/politica/oficial-din-danemarca-la-chisinau-impreuna-devenim-mai-puternici,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Miniștrii de externe ai țărilor nordice și baltice și-au declarat astăzi, 15 octombrie, la Chișinău, sprijinul pentru parcursul european al Republicii Moldova și pentru a se împărtăși cu experiențele lor în implementarea reformelor.",,,,
"Au crescut exporturile de cireşe, mere şi prune pe piaţa europeană",463,"15 Octombrie 2024, 17:00",https://stiri.md/article/economic/au-crescut-exporturile-de-cirese-mere-si-prune-pe-piata-europeana,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Exporturile de cireșe moldovenești pe piața Uniunii Europene (UE) au crescut, în anul 2024, cu 1.200% sau de 12 ori, arată datele Asociației „Moldova Fruct”.",,,,
Jurnal TV îi răspunde lui Veaceslav Platon: O campanie de denigrare,2318,"15 Octombrie 2024, 16:58",https://stiri.md/article/social/jurnal-tv-ii-raspunde-lui-veaceslav-platon-o-campanie-de-denigrare,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","„Jurnal TV este un post de televiziune independent, dedicat informării corecte și obiective a cetățenilor. Întotdeauna am funcționat în conformitate cu principiile jurnalismului profesionist și cu respectarea strictă a normelor legale. Nu am primit niciodată finanțare sau sprijin de la persoane controversate sau implicate în activități ilicite.”",,,,
Studiu: Provocările femeilor în export și soluții pentru a fi depășite,535,"15 Octombrie 2024, 16:54",https://stiri.md/article/economic/studiu-provocarile-femeilor-in-export-si-solutii-pentru-a-fi-depasite,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Astăzi, 15 octombrie 2024, de Ziua Internațională a Femeilor din Mediul Rural, UN Women a organizat evenimentul „Femeile în export: Căi de acces spre piața globală”. Evenimentul a constituit un dialog între reprezentante și reprezentanți ai instituțiilor de stat, organizațiilor internaționale și donatorilor, asociațiilor de business, femeilor antreprenoare.",,,,
Atenție: Numărul persoanelor intoxicate cu ciuperci este în creștere,375,"15 Octombrie 2024, 16:48",https://stiri.md/article/sport/atentie-numarul-persoanelor-intoxicate-cu-ciuperci-este-in-crestere,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Serviciul de Asistență Medicală Urgentă Prespitalicească CNAMUP a fost solicitat în perioada 7-13 octombrie pentru 14.199 de cetățeni, inclusiv pentru 2.078 de copii.",,,,
"Secretarul de stat al Ministerului Energiei, în vizită la Bruxelles",293,"15 Octombrie 2024, 16:46",https://stiri.md/article/social/secretarul-de-stat-al-ministerului-energiei-in-vizita-la-bruxelles,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Secretara de stat a Ministerului Energiei, Cristina Pereteatcu, a participat la reuniunea de screening bilateral pe tema „Criteriul economic, marcând o etapă importantă în parcursul țării către integrarea europeană”, care s-a desfășurat la Bruxelles și focusat pe discuții despre progresele Moldovei în sectorul economic și energetic, dar și în educație, dezvoltarea inovațiilor, infrastructurii și mediului de afaceri.",,,,
"Jador, mesaj pentru tineri de pe scena din PMAN: Citiți Biblia",1710,"15 Octombrie 2024, 16:39",https://stiri.md/article/social/jador-mesaj-pentru-tineri-de-pe-scena-din-pman-cititi-biblia,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Jador, unul dintre cei mai cunoscuți cântăreți de muzică de petrecere din România, care a urcat pe scena din Piața Marii Adunări Naționale cu ocazia Hramului orașului Chișinău, i-a îndemnat pe tinerii moldoveni să citească Biblia și să aibă încredere în Dumnezeu.",,,,
"Accident în Capitală: O femeie și o fetiță, transportate la spital",2315,"15 Octombrie 2024, 16:34",https://stiri.md/article/social/accident-in-capitala-o-femeie-si-o-fetita-transportate-la-spital,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Un accident rutier s-a produs astăzi, 16 octombrie, în sectorul Râșcani al Capitalei. O șoferiță și un copil de trei ani au fost preluați și transportați la spital.",,,,
"Alerte cu bombă la Judecătoria Chișinău, sediile Centru și Buiucani",590,"16 Octombrie 2024, 17:11",https://stiri.md/article/social/alerte-cu-bomba-la-judecatoria-chisinau-sediile-centru-si-buiucani,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Poliția a fost sesizată în după-amiaza zilei de azi, 16 octombrie, precum că în incinta Judecătoriei Chișinău, sediile Centru și Buiucani, sunt amplasate obiecte explozibile.",,,,
Oficial ucrainean: Moldova ar trebui să aibă grijă de propria securitate,2115,"16 Octombrie 2024, 16:53",https://stiri.md/article/politica/oficial-ucrainean-moldova-ar-trebui-sa-aiba-grija-de-propria-securitate,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Alexei Arestovici, fost consilier al şefului cabinetului preşedintelui Ucrainei, consideră că Moldova ar trebui să aibă grijă de propria securitate.",,,,
